timestamp,exercise_type,shoulder_height_diff,hip_height_diff,knee_height_diff,ankle_height_diff,elbow_height_diff,wrist_height_diff,ear_height_diff,squat_angle,plank_angle,left_shoulder_x,left_shoulder_y,right_shoulder_y,right_shoulder_x,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_y,right_knee_x,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,""
1761241911403,SQUAT,42.800232,11.731415,12.382385,5.111023,67.32156,29.230743,12.1353,NaN,NaN,315.3731,288.56622,245.76599,229.14891,264.85056,380.9793,213.18578,369.2479,266.45526,466.69894,454.31656,174.82008,263.1858,554.7653,198.7957,549.6543,310.9917,363.78696,177.7028,296.4654,263.84528,320.97897,223.68335,291.74823,305.47607,226.32103,272.1652,214.18573,
1761241911476,SQUAT,36.8909,11.979553,15.173096,6.758911,63.157654,32.605286,10.821548,NaN,NaN,315.9435,272.87085,235.97995,231.95967,265.7522,371.86652,215.48495,359.88696,266.43442,466.91534,451.74225,177.54106,261.8371,555.9844,197.37505,549.22546,310.59296,344.19873,185.9141,281.04108,267.47684,318.08118,225.28276,285.4759,306.6641,209.4321,275.94415,198.61055,
1761241911553,SQUAT,32.665955,11.209747,11.216003,4.5319214,61.17047,33.04544,9.710846,NaN,NaN,316.92752,256.77457,224.10861,232.87666,266.1763,362.27872,215.85957,351.06897,267.5717,459.51587,448.29987,179.44044,263.164,554.23157,197.069,549.69965,312.3952,332.3609,188.35239,271.19043,269.57877,308.8567,227.71877,275.81125,307.93625,190.03761,273.9619,180.32677,
1761241911642,SQUAT,34.473953,11.500092,11.468903,3.3287964,62.427704,33.121277,12.137695,NaN,NaN,315.81876,247.83073,213.35678,232.72966,264.26044,355.42026,213.01277,343.92017,262.79453,458.59296,447.12405,180.70038,262.15155,553.1744,195.31595,549.8456,303.7917,322.13324,188.86984,259.70554,270.154,300.31873,219.6202,267.19745,309.5975,178.38045,274.57056,166.24275,
1761241911720,SQUAT,39.566772,12.554932,15.670349,5.2509155,69.726776,38.821518,9.008469,NaN,NaN,315.56638,237.15656,197.58978,235.96587,264.52405,346.3308,214.1102,333.77588,261.69608,453.2119,437.54156,183.52797,262.1978,551.0568,195.45898,545.8059,304.99625,310.79187,194.93372,241.0651,275.21585,291.5279,221.1134,252.70638,308.5609,165.74326,275.98157,156.73479,
1761241911800,SQUAT,43.976288,12.705872,8.816956,2.1227417,71.07381,41.55948,11.746643,NaN,NaN,316.24323,226.77615,182.79987,236.11897,266.49252,340.9425,215.12894,328.23663,260.79117,449.2308,440.41385,186.74301,261.9722,550.6216,195.90652,548.49884,311.45636,300.3085,195.52646,229.2347,281.7464,285.06058,222.92624,243.5011,310.78424,158.58142,274.42807,146.83478,
1761241911887,SQUAT,43.661057,12.988922,9.749451,3.7077026,70.48007,53.387604,12.315491,NaN,NaN,315.88977,221.4412,177.78014,238.10657,268.19785,335.8687,217.66206,322.8798,260.6175,446.1278,436.37836,188.13159,261.40286,552.13934,195.60307,548.43164,312.2145,291.83295,195.41869,221.35287,296.49557,295.84286,232.73738,242.45526,311.03467,154.3234,276.1759,142.0079,
1761241911956,SQUAT,41.391586,9.521362,8.595795,3.3636475,65.68538,28.395264,10.88829,NaN,NaN,313.72675,215.58348,174.1919,235.43878,272.83438,333.18567,220.19315,323.6643,262.6851,445.07004,436.47424,190.20134,262.44464,551.84534,196.86992,548.4817,307.84534,288.29465,192.41904,222.60927,288.45273,265.25098,229.28731,236.85571,309.2852,151.45781,276.28574,140.56952,
1761241912034,SQUAT,39.91913,6.3799133,5.5258484,5.449524,67.33148,35.91832,13.173248,NaN,NaN,313.0511,217.00056,177.08144,234.31664,275.11072,331.82593,220.52896,325.446,266.58694,445.51483,439.98898,191.58038,259.15952,552.7969,196.5873,547.34735,310.5139,291.65463,190.2523,224.32315,291.58826,272.29337,225.87813,236.37505,306.883,154.24008,274.76962,141.06683,
1761241912116,SQUAT,41.663437,6.6726685,6.213043,6.8794556,60.340576,50.785416,12.812134,NaN,NaN,313.26038,218.13866,176.47522,233.46712,278.34662,331.37695,222.587,324.70428,269.06592,444.29657,438.08353,194.02718,259.786,552.6577,196.43863,545.77826,311.9941,291.48083,192.2715,231.14026,299.49762,286.79074,227.52184,236.00533,310.10345,155.25232,276.19525,142.44019,
